question,answer,tags
"Ababyeyi bakora iki kugira ngo bafashe abakobwa babo?,niki ababyeyi bakora ngo bafashe abakobwa babo?,ababyeyi bakora iki kubakobwa babo mugihe kimihango?,umubyeyi asabwa iki kubijyanye nimihango?","Ni byiza ko ababyeyi babahafi abana babo, bakabafasha muri ubu buryo bukurikira:
1. Babaha Amakuru nyayo kandi atuma umuntu yumva yiyizeye
2. Gufungura umuryango w’ibiganiro
3. Kubafasha kubona ibikoresho by’isuku
4. Kubuza ko umukobwa agira isoni cyangwa akavunika kubera imihango
5. Kumufasha gukurikirana imizigo y’imihango (cycle tracking)",
"hey,vp,",Muraho neza! nitwa KosmoBot umufasha mukugufasha kumenya ubuzima bw'imyororokere n'ubwumubyeyi n'umwana.,
"Ibimenyetso bibanziriza imihango(Premenstrual Syndrome) ni iki?,nibihe bimenyetso bibanziriza imihango?,ibimenyetso by'imihango?,ase namenya gute ko ngiye gutangira imihango?,niki kerekana ko umuntu agiye kujya mumihango?","Nibyiza kukibazo kiza ubajije.., Ibimenyetso bibanziriza imihango ni uruhurirane rw’ibimenyetso by’umubiri
n’amarangamutima bibaho mbere y’imihango.
Birimo:
1. Mood swings (guhindagurika kw’amarangamutima)
2. Kubyimba amabere
3. Kuremera mu nda
4. Umunaniro
5. Kurakara cyangwa kwiheba
6. Kuribwa munda
7. Impiswi(diarrhoea)/impatwe (constipation)",
"nibihe bimenyetso bibanziriza imihango?,","Nibyiza kukibazo kiza ubajije.., Ibimenyetso bibanziriza imihango ni uruhurirane rw’ibimenyetso by’umubiri n’amarangamutima bibaho mbere y’imihango. Birimo:

1. Mood swings (guhindagurika kw’amarangamutima)
2. Kubyimba amabere
3. Kuremera mu nda
4. Umunaniro
5. Kurakara cyangwa kwiheba
6. Kuribwa munda
7. Impiswi(diarrhoea)/impatwe (constipation)",
"kubura imihango biterwa niki?,kuberiki nshobora kubura imihango?","Nibyiza kukibazo kiza ubajije.., Kubura imihango (missing period) biterwa nibintu byinshi bitandukanye. Ibintu bishobora gutera kubura kw’imihango ni ibi bikurikira:

1. Stress nyinshi
2. Guhinduka kw’ibiro cyane (kunanuka cyangwa kubyibuha)
3. Indwara zimwe na zimwe
4. Gutwita
5. Ihungabana ry’imisemburo",
"nabuze imihango?,imihango yabuze?,","Nibyiza kukibazo kiza ubajije.., Kubura imihango (missing period) biterwa nibintu byinshi bitandukanye. Ibintu bishobora gutera kubura kw’imihango ni ibi bikurikira:

1. Stress nyinshi
2. Guhinduka kw’ibiro cyane (kunanuka cyangwa kubyibuha)
3. Indwara zimwe na zimwe
4. Gutwita
5. Ihungabana ry’imisemburo",
"imihango myinshi iterwa niki?,niki gituma imihango iba mike cyane?","Guhinduka kw’amaraso y’imihango biterwa ni mpamvu nyinshi zikurikira:

1. Guhinduka kw’imisemburo
2. Stress
3. Imirire
4. Imiti yo kuboneza urubyaro
5. Indwara zimwe na zimwe
Iyo habaye guhindagurika kwa maraso y’imihango bimaze igihe kirekire ni byiza kujya kwa muganga.",
"niki gitera kuva?,kuva cyane byatewe niki?","nibyiza kukibazo kiza ubajije.., Kuva hagati mu mihango bishobora guterwa nibintu byinshi bitandukanye:

1. Ihindagurika ry’imisemburo
2. Imiti yo kuboneza urubyaro
3. Stress
4. Infections
5. Indwara zimwe nazimwe nk’ibibyimba muri nyababyeyi n’ibindi.",
ibimenyetso by'imihango idasanzwe?,"Nibyiza kukibazo kiza ubajije.., Ibimenyetso by’imihango idasanzwe ni ibi bikurikira:

1. Kuva amaraso menshi cyane mu gihe cy’imihango
2. Ububabare bukabije
3. Imihango ihindagurika
4. Kuyibura udatwite
5. Spotting hagati y’imihango Mugihe ugira bimwe muri ibi bimenyetso ni byiza kujya kwa muganga.",
"Ese umuntu ashobora gutwita aramutse akoze imibonano mpuzabitsina idakingiye
ari mu mihango?,nkoze imibonano mpuzabitsina idakigiye ndi mumihango natwita?, ase bishoboka gutwita uri mumihango?,gutwita uri mu mihango nibyo?","Nibyiza kukibazo kiaza ubajije.., yego, birashoboka ko umuntu ashobora gutwita aramutse akoze imibonano mpuzabitsina
idakingiye ari mu mihango kuko intanga ngabo ishobora ku mara iminsi igeze kuri 5
itarapfa igitegereje intanga ngore. Niba umunsi w’uburumbucye ubaye vuba gutwita
birashoboka.",
nkoze imibonano mpuzabitsina idakigiye ndi mumihango natwita?,"nibyiza kukibazo ubajije..,, Birashoboka ko umuntu ashobora gutwita aramutse akoze imibonano mpuzabitsina idakingiye ari mu mihango kuko intanga ngabo ishobora ku mara iminsi igeze kuri 5 itarapfa igitegereje intanga ngore. Niba umunsi w’uburumbucye ubaye vuba gutwita birashoboka.",
Ndi mumihango nkoze imibonano mpuzabitsina natwita?,"nibyiza kukibazo ubajije..,, Birashoboka ko umuntu ashobora gutwita aramutse akoze imibonano mpuzabitsina idakingiye ari mu mihango kuko intanga ngabo ishobora ku mara iminsi igeze kuri 5 itarapfa igitegereje intanga ngore. Niba umunsi w’uburumbucye ubaye vuba gutwita birashoboka.",
"abahungu bakwiye kuganira kumihango?,abagabo bakwiye kuganira kumihango?","Nibyiza kukibazo kiza ubajije.., Kuganira ku mihango kubagabo n’abahungu ni byiza cyane. Ariko biba byiza iyo bitanzwe neza nko:

1. Gukoresha amagambo yoroshye kandi yubahitse
2. Gusobanura ko imihango ari ibisanzwe
3. Kubashishikariza gushyigikira abagore cyangwa abakobwa bari mu mihango aho kubaseka no kubaha akato.",
"Nigute nahangana no kugira isoni cyangwa ipfunwe mugihe ndi mu mihango?,ngira isoni mugihe kimihango nakora iki?,ase umuntu ugira isoni mugihe kimihango yakora iki?","Nibyiza kukibazo kiza ubajije.., Imihango ni ibintu bisanzwe ntampamvu yuko byagutera ipfunwe cyangwa isoni. Gusa igihe
bigutera isoni wagerageza ibi bikurikira:
1. Kwiga imuhango icyo ari cyo no kugira amakuru nyayo ku mihango
2. Kuvugana ku mihango nta guhakana
3. Gushakira amakuru ku bantu bizewe
4. Kurwanya ibihuha n’ibitekerezo bitari byo
5. Kwibuka ko imihango ari ibintu bisanzwe kandi byiza",
"Nigute nakurikirana amarangamutima n’ukwezi kw’imihango?,gute namenya uko ukwezi kwanjye kugenda?,ase nasobanukirwa ukwezi kwanjye gute?,","Nibyiza kukibazo kiza ubajije.., Mu gukurikirana amarangamutima, ibimenyetso n’ukwezi ku mugore wakoresha bumwe
muri ubu buryo:

1. Ukoresheje application (nka Kosmohealth)
2. Kalendari
3. Cycle tracking card
Ibi bifasha kumenya uko umubiri uhinduka n’ingengabihe yayo.",
"Ni iki nakora kugira ngo niyiteho neza mu gihe cy’imihango?,nakora iki mugihe kimihango?,nakwitwara gute mugihe kimihango?,ase nakora iki mugihe cy'imihango?","Nibyiza kukibazo ubajije, dore uko wakwiyitaho mugihe cy'imihango:  
1. Kuruhuka neza
2. Kurya indyo iboneye
3. Kunywa amazi ahagije
4. Gushyira ubushyuhe ku nda iyo Ubabara
5. Gukora imyitozo ngorora mubiri yoroshye
6. Gufata umwanya wo kuruhuka no gutuza (self-care)
Ibi bifasha gutuma umererwa neza mu gihe uri mu mihango.",
"Ni ibihe bikoresho bitandukanye bikoreshwa mugihe cy’imihango?,ibikoresho byifashishwa mugihe cy'imihango?,ase nakoresha iki mugihe cy'imihango?,ibikoresho bikoreshwa mugihe cy'imihango?","Nibyiza kukibazo kiza ubajije.., Ibikoresho bikoreshwa mu gihe cy’imihango birimo:
1. Pads zikoreshwa rimwe (disposable pads)
2. Pads zikoreshwa kenshi (reusable pads)
3. Tampons (Ipamba)
4. Menstrual cups (Agakombe k’imihango)
5. Period underwear (Ikariso y’imihango)
6. Cloth pads (ibitambaro)",
"Pad zikoreshwa kenshi (Reusable pads) ni iki kandi zikora zite?,Reusable pads zikora gute?","Reusable pads ni pads zikoreshwa kenshi, zikozwe mu myenda.
Zambarwa nk’izindi pads zisanzwe, hanyuma zikameswa, zikumishwa, zikongera
gukoreshwa imyaka myinshi.",
"IgIkombe cy’imihango (menstrual cup) ni iki, gikora gate?,igikombe cy'imihango niki?,ase igikombe cy'imihango gikora gute?","Igikombe cy’imihango (menstrual cup) ni igikoresho gikoreshwa ni igitsina gore gifata
amaraso y’imihango.
1. Kinjizwa mu gitsina kandi kikabasha gufata amaraso
2. Kigakurwamo nyuma y’amasaha runaka
3. Kirozwa kikongera kigakoreshwa igihe kirekire

Ikiza cy’ igikombe cy’imihango nuko gikoreshwa igihe kirekire kandi gifasha
kubungabunga ibidukikije.",
"Ni izihe nyungu zo gukoresha pad zikoreshwa kenshi (reusable sanitary pads)?,ibyiza bya Reusable pads?, ibyiza bya pads zimeswa nibihe?,","Nibyiza kukibazo wibajije.., Zimwe mu nyungu zo gukoresha pad zikoreshwa kenshi ni izi:
1. Zirahendutse kuko zikoreshwa igihe kirekire
2. Ni eco-friendly (ntizangiza ibidukikije)
3. Ziraruhura kandi ziroroshye ku mubiri
4. Ziba zidafite ibinyabutabire bishobora kubangamira uruhu
5. Zitanga ishema n’isuku mu bijyanye n’imihango",
"Nigute nahitamo igikoresho cy’imihango kimbereye?, ase nahitamo igikoresho nkoresha mugihe kimihango gute?,ase namenya icyo nkoresha mugihe kimihango gute?","Urakoze kwibaza icyo kibazo.., Guhitamo igikoresho wakoresha mugihe cy’imihango biterwa na:
1. Umubare w’amaraso
2. Ihumure ushaka
3. Amafaranga ufite
4. Aho uba (amazi yo koza pads)
5. Ibyo ukunda ku giti cyawe (personal preference)",
"Ese nshobora gukoresha urupapuro (tissue) cyangwa ibindi bikoresho mu gihe
cy’ubutabazi?,nakoresha igipapuro mugihe cy'imihango?,ase nakoresha undi mwambaro mugihe kimihango?,","Nibyiza kukibazo kiza ubajije.., Yego ariko ni mu gihe gito cyane, kuko tissue:
1. Ishobora gucikagurika
2. Ntago inywa amaraso neza
3. Ishobora gutera kwangirika k’uruhu(Skin Irritation)

Ni byiza guhita uhindura ugakoresha igikoresho cy’imihango ki kubereye vuba bishoboka.",
"Kuki ubuzima bw’imihango ari ingenzi?,ase gusobanukirwa imihango nigenzi?,ubuzima bw'imihango nigenzi?,ase ngomba kumenya imihango?","Byiza kukibazo kiza ubajije.., Ubuzima bw’imihango ni ingenzi kuko bugira ingaruka ku:
1. Ubuzima muri rusange (General health)
2. Imitekerereze n’imyumvire (mental well-being)
3. Imyigire n’imyitwarire
4. Ishema n’agaciro k’umukobwa
5. Uburyo abasha kwitabira ibikorwa byose by’imibereho

Ikindi ubuzima bw’imihango ni igice cy’ingenzi cy’ubuzima bw’umukobwa.",
"Ni gute imihango ishobora kugira ingaruka ku myigire y’abakobwa?,ingaruka z'imihango kubanyeshuri biga?,abanyeshuri bahura nizihe ngaruka?","Nibyiza kukibazo kiza ubajije.., Ingaruka zishobora kuba ni:     1. Kubura pads cyangwa ibindi bikoresho bikwiye byatuma basiba ishuri
2. Uburibwe bukabije butuma batitabira amasomo
3. Akato n’ubwoba bwo gusekwa
4. Ubwiherero budahagije cyangwa amazi make
Ibi byose bishobora gutuma umukobwa asiba ishuri cyangwa bïkagabanya
umusaruro we mu masomo.",
"Ni gute umuryango mugari wafasha mu kubungabunga ubuzima bw’imihango?,umuryango mugari wagakoze iki?,uruhe ruhare rw'umuryango mugari?","Byiza kukibazo kiza ubajije.., Umuryango wafasha mukubungabunga ubuzima bw’imihango mu
1. Gutanga amakuru nyayo kandi yizewe
2. Gutanga ibikoresho by’imihango bihendutse kuri bose
3. Gushyiraho ahantu hafite amazi meza n’isuku yo kwisukura
4. Kugabanya akato no kuvuga ku mihango mu mucyo
5. Gushyigikira abakobwa mu rugo no ku masoko",
"Ni izihe ntego za SDGs zifitanye isano ni imihango?,intego za SDGs ni imihango?,ase intego za SDGs zihuriyehe n'imihango?","SDGs zifitanye isano ni imihango ni izi zikurikira:
1. SDG 3: Ubuzima bwiza n’imibereho myiza
2. SDG 4: Uburezi bufite ireme
3. SDG 5: Uburinganire mu by’igitsina
4. SDG 6: Amazi meza n’isuku kuri bose

Izi ntego zose ziteza imbere ubuzima bw’imihango.",
"MHM (Menstrual Health Management) bisobanura iki?,MHM niki?,menstrual health bisobanuye iki?,MHM bisobanura iki?","MHM bisobanura:
1. Kugira ubumenyi ku mihango
2. Kugira pads cyangwa ibindi bikoresho bisukuye kandi biboneka
3. Kugira ubwiherero bufite ibanga n’amazi
4. Kugira uburyo bwiza bwo gutereramo imyanda y’imihango
5. Kugira inkunga mu muryango no mu ishuri",
"Ni gute kudafata neza ubuzima bw’imihango bigira ingaruka ku buzima
bw’abakobwa?,ingaruka zo kudafata neza ubuzima bw'imihango?,ingaruka zo kutamenya ubuzima bw'imihango?","Kudafata neza ubuzima bw’imihango bigira ingaruka nyinshi zitandukanye, harimo:
1. Indwara (Infections, UTIs, RTIs)
2. Kwigirira nabi cyangwa gucika intege mu mitekerereze (mental health illness)
3. Kutisanzura no gucika intege
4. Gusiba ishuri kenshi
5. Kubura ubushobozi bwo kwitabira ibikorwa by’imibereho",
MHM niki?,"MHM bisobanura:

1. Kugira ubumenyi ku mihango
2. Kugira pads cyangwa ibindi bikoresho bisukuye kandi biboneka
3. Kugira ubwiherero bufite ibanga n’amazi
4. Kugira uburyo bwiza bwo gutereramo imyanda y’imihango
5. Kugira inkunga mu muryango no mu ishuri",
"Ni izihe gahunda za Leta cyangwa imiryango itari iya leta zishyigikira ubuzima
bw’imihango?","Nibyiza kukibazo kiza ubajije.., 1. Gutanga pads ku banyeshuri bw’abakobwa
2. Porogaramu za isuku ni isukura (WASH) mu mashuri
3. Ubukangurambaga bwo gusobanura imihango mu muryango
4. Gahunda z’ubuzima bw’imyororokere
5. Politiki zishyigikira uburinganire n’isuku mu mashuri",
"Ni gute ibikoresho bya digitale nka Kosmohealth bifasha mu gukurikirana
imihango?,kosmohealth idufasha iki?,ase kosmohealth ikora gute?,kosmohealth itwigisha iki?,","Nibyiza kukibazo kiza ubajije.., Kosmohealth ifasha abakoresha:
1. Kwandika amatariki y’imihango
2. Gukurikirana ibimenyetso n’amarangamutima
3. Guteganya (cycle predictions)
4. Kwibutswa ibyo gukora
Ibi byose bifasha kumenya umubiri no kugira ubuzima bw’imihango bwiza.",
"Kuki ari ingenzi ko n’abahungu biga ku mihango?,ase ubuzima bw'imihango abahungu bagomba kubumenya?,abahungu bagomba kumenya imihango?,ase","Ni ingenzi ko abahungu biga ku mihango kuko:
1. Bigabanya gutera isoni n’ikimwaro
2. Birinda guserereza cyangwa guseka abakobwa
3. Bibafasha kuba abagabo bashyigikira abagore babo mu buzima bwabo
4. Bikubaka umuryango utekereza neza n’udacira urubanza",
"Ni uruhe ruhare imirire myiza igira ku buzima bw’imihango?,kurya neza bifasha iki mugihe kimihango?,iryo yuzuye ifasha iki mugihe kimihango?,kurya neza birafasha mugihe kimihango?","Nibyiza kukibazo kiza ubajije.., Imirire myiza:
1. Yongera ingufu
2. Igabanya ibimenyetso bibanziriza imihango
3. Ifasha umuzunguruko (Menstruation cycle) kugenda neza
4. Igabanya uburibwe
5. Igafasha umubiri gukora neza mu gihe cy’imihango",
"Ibimenyetso by’umubiri (Physical Symptoms)?,ibimenyetso biri physical nibihe?","Nibyiza kukibazo kiza ubajije.., 1. Kubabara mu nda yo hasi (abdominal cramps)
2. Umutwe (headache) cyangwa umutwe wuruhande rumwe (Migraine)
3. Kubyimba cyangwa kuribwa amabere (Breast tenderness)
4. Kuremera mu nda (bloating)
5. Kubabara mu mugongo (Back pain)
6. Umunaniro cyangwa kubura imbaraga(malaise)
7. Kongera kurya cyangwa kugira ubushake bwo kurya cyane
8. Uduheri ku ruhu (acne)
9. Kubabara mu nda cyangwa gucibwamo
10. Kubabara mu ngingo no mu misokoro",
"Ibimenyetso by’amarangamutima n’imitekerereze (Emotional &amp; Psychological
Symptoms)?,ibimenyetso byamarangamutima nibihe?, ibimenyetso by'imitekerereze nibihe?,what are emotional symptoms?,what are psychological symptoms?","Nibyiza kukibazo kiza ubajije.., 1. Guhindagurika kw’amarangamutima (mood swings)
2. Kurakara cyangwa kugira umujinya udasanzwe
3. Umunabi cyangwa guhangayika
4. Agahinda cyangwa kurira byoroshye
5. Kugira ikibazo cyo kwibanda ku bintu (difficulty concentrating)
6. Kumva umeze nk’udashoboye ibintu (overwhelmed)
7. Kugira intege nke mu bikorwa bya buri munsi
8. Ibibazo byo gusinzira (gusinzira cyane cyangwa kubura ibitotsi)",
"Ibimenyetso by’imyitwarire (Behavioral Symptoms)?, what are behavioral symptoms?,Ibimenyetso by’imyitwarire?","ibimenyetso ni:
1. Guhinduka kw’imyitwarire yo kurya
2. Kwifuza cyane ibiryo biryohereye (sweet, salty, carbohydrates)
3. Kwitandukanya n’abandi (social withdrawal)
4. Kugabanya ubushake bwo gukora ibyo usanzwe ukunda
5. Kugira ikibazo cyo kwibanda ku bikorwa (trouble focusing)",
"Ibimenyetso by’ubwenge (Cognitive Symptoms)?, what are cognitive Symptoms?, Ibimenyetso by’ubwenge?","1. Kwibagirwa cyane
2. Kugira ikibazo cyo gufata imyanzuro
3. Kumva mu mutwe hari “ibihu” (mental fogginess)",
"Umuzunguruko (Cycle Length) ungana gute?,what is cycle length?,ukwezi kumugore kungana gute?,","ukwezi kumugore cg umukobwa kumara:
1. Imihango isanzwe iba hagati y’iminsi 21–35.
2. Ibarwa uhereye ku munsi wa mbere w’imihango kugeza ku munsi wa mbere w’indi
mihango.",
"Ingano y’amaraso ingana gute?,umuntu atakaza amaraso angana gute?,amaraso aza angana gute?","1. Umuntu akenshi atakaza 30–80ml.
2. Guhindura pads buri masaha 4–6 ni ibisanzwe.",
"Imihango myinshi Imara igihe kingana gute?,",Imihango irenze iminsi 7.,
"Kugaragaza ibimenyetso bya anaemia (kubura amaraso),kubura amaraso?,what are anaemia symptoms?","Ibimenyetso bya anaemia ni:   1. Umunaniro ukabije
2. Kugira isereri
3. Gucika intege
4. Kugira umwuka muke",
"Ni ryari wagana muganga?,nareba muganga ryari?,ase uhamagara muganga bigenze gute?,ureba muganga ryari?","ibi ni ibimenyetso byatuma ureba muganga: 1. Niba buri muzingo (menstrual cycle) uba mwinshi cyane
2. Niba imihango yahindutse ikarushaho kuba miremire cyangwa mwinshi
3. Niba urembye, ufite isereri cyangwa wumva umunaniro ukabije
4. Niba uva amaraso hagati y’imihango",
"Ese Coca-Cola igabanya ububabare bw’imihango?,Coca-cola ifasha iki?,coca cola ishobora kugabanya imihango?,coca-cola yongera iki?,coca-cola ifunga imihango?","Oya. Coca-Cola ntigabanya ububabare bw’imihango.
1. Ntigira umusaruro wo kugabanya ububabare mugihe cy’imihango (abdominal
cramps)
2. Irimo isukari nyinshi ishobora kongera fatigue
3. Irimo caffeine ishobora kongera anxiety kuri bamwe
Ahubwo ibifasha ni bi bikurikira :
1. Gushyira ubushyuhe ku nda
2. Kunywa amazi menshi
3. Imyitozo ngororamubiri
4. Kuruhuka
5. Ibinini bigabanya uburibwe (Painkillers) zoroshye bikoreshwa igihe ari ngombwa.",
"Ese Coca-Cola igabanya ububabare bw’imihango?,Coca-cola  igabanya imihango?,coca-cola ituma imihango ihagarara,coca-cola yatuma utajya mumihango?,coca-cola ifata imihango?,coca-cola yamara imihango?","Oya. Coca-Cola ntigabanya ububabare bw’imihango.
1. Ntigira umusaruro wo kugabanya ububabare mugihe cy’imihango (abdominal
cramps)
2. Irimo isukari nyinshi ishobora kongera fatigue
3. Irimo caffeine ishobora kongera anxiety kuri bamwe
Ahubwo ibifasha ni bi bikurikira :
1. Gushyira ubushyuhe ku nda
2. Kunywa amazi menshi
3. Imyitozo ngororamubiri
4. Kuruhuka
5. Ibinini bigabanya uburibwe (Painkillers) zoroshye bikoreshwa igihe ari ngombwa.",
"What is a period (menstruation)?,What is a period?, what is period?","A period is when blood and tissue leave the uterus through the vagina. It’s a natural part of the menstrual cycle. 
Periods happen because the body sheds the lining of the uterus when there’s no pregnancy.",
"Why do periods happen?,why periods happen?",Periods happen because the body sheds the lining of the uterus when there’s no pregnancy.,
"How long does a period usually last?,How long does it last?","Most periods last 3–7 days, but it can vary from person to person.",
"At what age do periods usually start?,what age period starts?,Periods starts when?","Periods usually start between 9–16 years old, depending on your body and health.",
"What is the menstrual cycle?,Menstrual cycle means what?","It’s the monthly process your body goes through to prepare for pregnancy. One cycle lasts about 28 days, but 21–35 days is normal.",
"Why do periods sometimes come early or late?, cause of period to come early?, what cause period to come late?","Hormones, stress, diet, sleep, or illness can make your period come early or late.",
"How long should a normal menstrual cycle be?, How long menstrual cycle last?",A normal cycle is usually 21–35 days.,
"Why is my period irregular?, My period is irregular why?, what cause irregular periods?","Irregular periods can happen if your hormones are still adjusting, if you’re stressed, or if there are health issues.",
"Can stress affect my period?, stress affect periods?,","Yes! Stress can delay, make your period lighter or heavier, or even skip it sometimes.",
What is ovulation and how does it relate to periods?,"Ovulation is when an egg is released from the ovary. If it’s not fertilized, your period starts a few days later.",
"Why do I get cramps during my period?, Cause of cramps during periods?",Cramps are caused by the uterus contracting to shed its lining.,
Is it normal to have mood swings before or during periods?,"Yes. Hormone changes can cause mood swings, irritability, or sadness.",
"Why do I have heavy bleeding?,  Heavy bleeding caused by what?,","Heavy bleeding can be normal for some people, but very heavy bleeding could be a sign of a health issue.",
Why do I sometimes have spotting between periods?,"Spotting can be caused by hormones, stress, or birth control. If it happens often, check with a doctor.",
Can periods cause headaches or back pain?,"Yes. Hormone changes and cramps can cause headaches, back pain, or tiredness.",
"What products can I use?,  what pad should i wear?, what pad should i use?",You can use kosmopads ( a reusable sanitary pad),
"How often should I change my pad or tampon?, when can i change pad?, Pad is changed when?,","Pads: every 4–6 hours.
Tampons: every 4–8 hours.
Change often to prevent infection.",
"Can I exercise during my period?, Doing exercise during periods reduce pain?, Doing sports reduce pain ?",Yes! Exercise can even help reduce cramps and boost mood.,
"Can I swim during my period?, should i swim during periods?",Yes! Use a tampon or menstrual cup to prevent leaks.,
Is it safe to use tampons at night?,"Yes, but don’t leave a tampon in for more than 8 hours.",
"What is considered abnormal bleeding?, what is abnormal bleeding? ,","Bleeding that is very heavy, lasts more than 7 days, or happens between periods is unusual.",
"Can missing a period mean pregnancy?, missing periods means pregnancy, I can't see my periods am i pregnant?","Yes, missing a period can be a sign of pregnancy if you’re sexually active.",
Can certain medications affect periods?,"Yes. Some medications, like birth control or certain treatments, can change your cycle.",
When should I see a doctor about my period?,"See a doctor if your periods are very heavy, painful, irregular for a long time, or you have unusual bleeding.",
Can eating habits or weight affect periods?,"Yes. Being underweight, overweight, or not eating well can change your cycle.",
Why heavy bleeding?,Sometimes normal; very heavy may need a doctor.,
